,query,textfiles/cow4.txt,misc/count_letters.txt,textfiles/extratextfiles/index.php,schedule.htm,ROOT
activities,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
activity,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
additional,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
administrator,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
algorithm,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
analysis,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
apr,0.0,0.0,0.0,0.0,0.29972278619837683,0.0
april,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
argc,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
argv,0.0,0.0,0.2779442983263006,0.0,0.0,0.0
article,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
assigned,0.0,0.0,0.0,0.0,0.2664202543985572,0.0
badfile,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
bayes,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
boolean,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
break,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
brown,0.0,0.7071067811865476,0.0,0.0,0.027308552475173616,0.0
building,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
byte,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
calendar,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
catch,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
cats,1.0,0.0,0.0,0.0,0.0,0.0
char,0.0,0.0,0.18529619888420037,0.0,0.0,0.0
chpt,0.0,0.0,0.0,0.0,0.46623544519747506,0.0
class,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
classics,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
classification,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
classifier,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
clustering,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
co,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
complete,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
compression,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
contacted,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
content,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
contents,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
course,0.0,0.0,0.0,0.0,0.027308552475173616,0.08557109398059459
cow,0.0,0.7071067811865476,0.0,0.0,0.05461710495034723,0.0
crawling,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
cs,0.0,0.0,0.0,0.08640639604265492,0.04611151292842018,0.07224499742292106
dark,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
date,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
day,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
demo,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
disance,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
distribution,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
document,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
don,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
dr,0.0,0.0,0.0,0.0,0.0,0.20870634436042107
due,0.0,0.0,0.0,0.0,0.2664202543985572,0.0
edu,0.0,0.0,0.0,0.0,0.0,0.20870634436042107
email,0.0,0.0,0.0,0.0,0.027308552475173616,0.08557109398059459
eof,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
errors,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
evaluation,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
exact,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
exam,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
example,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
exit,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
exmple,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
expansion,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
fall,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
fclose,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
feb,0.0,0.0,0.0,0.0,0.2664202543985572,0.0
feedback,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
figure,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
file,0.0,0.0,0.1519455337839148,0.1023446619148837,0.0,0.0
files,0.0,0.0,0.0,0.30703398574465113,0.05461710495034723,0.0
fin,0.0,0.0,0.463240497210501,0.0,0.0,0.0
fmoore,0.0,0.0,0.0,0.0,0.0,0.20870634436042107
football,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
fopen,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
freeman,0.0,0.0,0.0,0.0,0.0,0.41741268872084214
getc,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
google,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
hierarchical,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
hits,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
hmwk,0.0,0.0,0.0,0.0,0.39963038159783576,0.0
hockey,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
hocuspocus,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
home,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
ii,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
implementation,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
include,0.0,0.0,0.2779442983263006,0.0,0.0,0.0
index,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
indexing,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
information,0.0,0.0,0.0,0.0,0.027308552475173616,0.08557109398059459
int,0.0,0.0,0.37059239776840075,0.0,0.0,0.0
introduction,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
ir,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
isalpha,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
jan,0.0,0.0,0.0,0.0,0.1332101271992786,0.0
junkins,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
keep,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
knn,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
lamb,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
last,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
latest,0.0,0.0,0.0,0.0,0.027308552475173616,0.08557109398059459
letter,0.0,0.0,0.379863834459787,0.0,0.027308552475173616,0.0
levenshtein,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
link,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
lists,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
little,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
looking,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
lyle,0.0,0.0,0.0,0.0,0.0,0.20870634436042107
main,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
maintained,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
mar,0.0,0.0,0.0,0.0,0.29972278619837683,0.0
match,0.0,0.0,0.0,0.3744251579494094,0.0,0.0
matrix,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
may,0.0,0.0,0.0,0.0,0.05461710495034723,0.08557109398059459
means,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
mercator,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
methodist,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
midterm,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
model,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
moore,0.0,0.0,0.0,0.0,0.0,0.41741268872084214
morphing,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
necessarily,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
no,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
noindex,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
null,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
occurence,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
occurs,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
onechar,0.0,0.0,0.37059239776840075,0.0,0.0,0.0
online,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
open,0.0,0.0,0.09264809944210019,0.0,0.0,0.0
opinions,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
order,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
overview,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
page,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
pagerank,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
part,0.0,0.0,0.0,0.6240419299156823,0.0,0.0
phd,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
pm,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
poem,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
policies,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
posting,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
preliminary,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
printf,0.0,0.0,0.18529619888420037,0.0,0.0,0.0
program,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
project,0.0,0.0,0.0,0.0,0.1332101271992786,0.0
query,0.0,0.0,0.0,0.1023446619148837,0.027308552475173616,0.0
reading,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
reimaginging,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
relevance,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
represent,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
responsibility,0.0,0.0,0.0,0.0,0.0,0.10435317218021053
retrieval,0.0,0.0,0.0,0.0,0.0666050635996393,0.0
reverse,0.0,0.0,0.0,0.12480838598313646,0.0,0.0
review,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
roadmap,0.0,0.0,0.0,0.0,0.03330253179981965,0.0
schedule,0.0,0.0,0.0,0.0,0.09990759539945894,0.0
